,toxic,neutral
152,"В ОБЩЕМ Я ДОМА.НО НАСТРОЕНИЕ НЕ ПОДНЯЛОСЬ.ПРАВДА, ОБИДНО,ЧТО ДЕВЧОНКИ,КОТОРЫЕ БЫЛИ СОВСЕМ НЕДАВНО НОРМАЛЬНЫМИ,СТАЛИ ИДИОТСКИМИ СУКАМИ :(","В общем я дома, но настроение не поднялось, правда, обидно, что девченки, которые совсем недавно были нормальными очень поменялись"
153,пиздец так огорчилии меня конечно.. не объяснить словами(,"Очень сильно огорчили меня , сложно объяснить словами на сколько сильно"
154,ХОРОШОПОЧТИ ВЫЗДОРАВЛИВАЮГРЁБАННАЯ ЗИМАЧТОЖ ТАК ХОЛОДНО *(ЧЕМ ЗАНЯТА?,хорошо почти. выздоравливаю. зима надоела... что ж так холодно? чем занята?
155,"Fuuuuk! Monster High, шикарные куклы, но падла... ДОРОГИЕ!!! 6000 тысяч за Catty Noir! Обдираловка! =(","Вот это да, куклы Monster Hidh, такие шикарные, но к сожалению, такие дорогие! 6000 тысяч за Catty Noir - очень дорого."
156,"Такое ощущение что кто то хлопнул в ладоши сказав:""Всё пиздец,хватит с тебя сегодня,хорошего настроения""!!((","Такое ощущение что кто то хлопнул в ладоши и сказал 
Все на сегодня с тебя хватит хорошего настроения"
157,"СКА,ПЗДЦ,МЕНЯ СЕСТРА ВЫГНАЛА,А НА ТЕЛЕФОНЕ ЩА СЯДЕТ БАТАРЕЙКА,А ПОДЗАРЯДКИ НЕТУ((((((((((((((((((((((Ну ни че,я пожру хоть.","Меня сестра выгнала, а на телефоне сейчас сядет батарейка, а подзарядки нет, ну ничего я покушаю хотя бы"
158,Я ПРОПУСТИЛА ДР ЗЕЙНИИИ((( НЕ ПОЗДРАВИЛАА ЕГОООО((((((,"Я так расстроена, пропустила День рождения Зейни. Не поздравила его!"
159,Кто просрал каникулы? Я ПРОСРАЛ КАНИКУЛЫ ((66(((6(6((,Кто потратил зря все каникулы? Я потратил это время зря.
160,пиздец...он гуляет со мной чисто пососаться..а я дура влюбляюсь(,он гуляет со мной что бы просто по целоваться.а я дура влюбляюсь
161,в жопу науку!в жопу сессию!в жопу экзамены!я хочу на горку и чудо-шоколад :(,Не вижу смысла в науке! Не хочу сессию! Не хочу экзамен! Я хочу на Горку и чудо шоколад:(
162,Кошмар....я просто придурок!!!опять...все заново!!!((,Кошмар... я просто глупый! Опять всё заново!
163,"-ВАХАХАХА СТИПЕНДИЯ,ОЛОЛО Я БОГАТ.-Слушай,тут зачет в пн,одолжи 2к,а?-Окау:(То самое чувство.То.самое.чувство.","-хаха, стипендия, я богат. слушай, тут зачëт в понедельник, одолжи две тысячи. хорошо( то самое чувство.."
164,"бля да круто она думает,каре назад,эт ахуенно и ей пойде... — плдовифьлрывимя уже хз как подстригаться:(лохибаный","Да круто она думает , каре назад , это прикольно и ей пойдёт . Я уже не знаю как подстригаться"
165,я с тобой больше не говорюибо заебала уже немногои никак подругому не сказать(((((((((((,"Я с тобой больше не говорю, ибо надоела уже немного и никак по другому не сказать"
166,Где Оладуш?божемойя скучаю по этому пидару(((((((((,"Где Оладуш? Боже мой, я скучаю по этому человеку"
167,"ТАКАЯ ЖЕ ХРЕНЬ(ЭЭЭХ,СТРАННО КАК-ТО..ХОТЬ БЫ ДО ВЕЧЕРА ВСЕ ВОССТАНОВИЛОСЬ..","Такая же ерунда( эээх, странно как-то. Хоть бы до вечера все восстановилось."
168,"ТАКАЯ ЖЕ ХРЕНЬ(ЭЭЭХ,СТРАННО КАК-ТО..ХОТЬ БЫ ДО ВЕЧЕРА ВСЕ ВОССТАНОВИЛОСЬ..","Такая же фигня ( эээх, странно как-то.. Хоть бы до вечера все восстановилось.."
169,"По-любас по мне весь твиттер скучал!Я ж звизда-пизда, да Поль?Меня тут так долго не было:(Будем исправлять ситуацию","По-любому по мне весь твиттер скучал! Я ж звезда, да, Поль? Меня тут так долго не было. Будем исправлять ситуацию"
170,Ща поставила укол Моньке. Он бедный болеет( ЗАТО БЛЯТЬ НАЖРАЛСЯ ЦВЕТОВ И ДОЖДЯ,Сейчас поставила укол Моньке. Он бедный болеет( Но зато перед этим он наелся цветов и дождя.
171,моего пса зовут Гарритак вот этот Гарри блядь сиранул в коридоре(((((,Моего пса зовут Гарри. Так вот этот Гарри сходил в туалет в коридоре (
172,Иногда я хо чтоб меняукрыли и чмокнули в носнаночь(,"Иногда, я хочу, чтобы меня укрыли и поцеловали в нос, перед сном("
173,два фильмодрочера!,Два человека любящие смотреть фильмы
174,так что парни нахуй идите заебали(,так что парни идите куда подальше вы меня достали(
175,пздц штобыломеня обосрали перед всем классом и предками(((9((9,"Кошмар, что было, меня облили грязью перед всем классом и родителями((("
176,"Данка рассталась со своим( пиздец....родная я с тобой. Ты всегда была рядом,когда мне было больно теперь я буду тоже. Ведь я прошла все это","Данка рассталась со своим .родная я с тобой .ты всегда была рядом , когда мне было больно , теперь я буду тоже.  Ведь я прошла все это"
177,Я ДОЛГО НЕ МОГ РЕШИТЬСЯ НА ЭТО.НО ВСЁ ЖЕ ПОСМОТРЕЛ 3 СЕРИЮ 5 СЕЗОНА GLEE.Я ВЫПЛАКАЛ 3 БОЛЬШИХ ПОЛОТЕНЦА.ЭТО ПРОСТО ПЗДЦ.:(,"Я долго не мог решиться на это, но все же посмотрел 3 серию 5 сезона GLEE. Я промочил слезами три больших полотенца, это нечто("
178,Что!?!?! СЕКС!!?!?! ГДЕ СЕКС??(ПОЩИМУ Я ПРОПУСТИЛ(,Что!?!?! Секс!!?!?! Где секс?? ( Почему я пропустил (
179,блять.болят все кости рук.ломит.что за пиздец?(,"Болят все кости рук и ломит, что за день"
